Credit Score,City,Credit Balance,Checking Account Number,PIN,Zip,Checking Balance,Last Name,Address,First Name,Credit Limit,Savings Balance,Phone Number,ID,State,Savings Account Number,Date of Birth,Credit Account Number
375,El Paso,6.19,1000936,7305,79999,2173.01,Johnson,101 Random Rd.,Denise,200,11718.46,(915) 123-4567,936,TX,2000936,3/8/72,3000936
725,El Paso,432.88,1001014,5460,79999,1526.39,Hughes,101 Random Rd.,Patricia,7200,12739.82,(915) 123-4567,1014,TX,2001014,6/11/79,3001014
493,El Paso,0.97,1000276,7388,79999,2243.65,Williams,101 Random Rd.,Michael,200,24229.62,(915) 123-4567,276,TX,2000276,3/15/40,3000276
625,El Paso,380.91,1000338,8569,79999,2185.66,Johnson,101 Random Rd.,Courtney,1900,13644.37,(915) 123-4567,338,TX,2000338,10/28/82,3000338
756,El Paso,1296.73,1000262,6375,79999,2464.12,Castillo,101 Random Rd.,Brian,14400,22295.66,(915) 123-4567,262,TX,2000262,9/9/87,3000262
421,El Paso,36.8,1000684,7655,79999,2040.83,Davis,101 Random Rd.,Anna,600,16087.53,(915) 123-4567,684,TX,2000684,9/15/01,3000684
375,El Paso,50.84,1000352,7778,79999,1930.53,Brown,101 Random Rd.,Lisa,500,15998.14,(915) 123-4567,352,TX,2000352,6/14/65,3000352
638,El Paso,714.14,1000544,1858,79999,2425.51,Summers,101 Random Rd.,Kylie,4200,2254.36,(915) 123-4567,544,TX,2000544,8/19/76,3000544
696,El Paso,62.53,1000207,9691,79999,2062.62,Miller,101 Random Rd.,Amanda,6200,13704.42,(915) 123-4567,207,TX,2000207,2/25/32,3000207
545,El Paso,90.6,1000098,2500,79999,2359.36,Contreras,101 Random Rd.,Christopher,500,4389.17,(915) 123-4567,98,TX,2000098,8/23/19,3000098
300,El Paso,27.35,1000151,4825,79999,2099.98,Martin,101 Random Rd.,Victoria,100,3108.37,(915) 123-4567,151,TX,2000151,5/25/20,3000151
684,El Paso,561.88,1000470,1842,79999,1733.83,Reese,101 Random Rd.,Alyssa,5100,20181.38,(915) 123-4567,470,TX,2000470,5/20/91,3000470
784,El Paso,1350.1,1000963,4707,79999,1570.33,Casey,101 Random Rd.,Roger,9000,15002.64,(915) 123-4567,963,TX,2000963,9/27/87,3000963
594,El Paso,957.74,1000399,3606,79999,1531.64,Fernandez,101 Random Rd.,Jessica,3300,4147.3,(915) 123-4567,399,TX,2000399,10/13/87,3000399
848,El Paso,4218.84,1000512,4112,79999,2071.64,Torres,101 Random Rd.,Colleen,22200,17979.73,(915) 123-4567,512,TX,2000512,12/7/35,3000512
387,El Paso,180.11,1000210,3644,79999,1994.87,Jensen,101 Random Rd.,Brian,600,7244.86,(915) 123-4567,210,TX,2000210,10/2/49,3000210
482,El Paso,16.88,1000781,6666,79999,1735.38,Simpson,101 Random Rd.,Alexandra,400,1545.22,(915) 123-4567,781,TX,2000781,10/2/48,3000781
357,El Paso,16.02,1000502,5970,79999,1679.42,Mcpherson,101 Random Rd.,Amy,200,7420.31,(915) 123-4567,502,TX,2000502,7/13/08,3000502
533,El Paso,48.19,1000284,2843,79999,1555.31,Dunn,101 Random Rd.,Jacqueline,600,18670.26,(915) 123-4567,284,TX,2000284,3/20/28,3000284
757,El Paso,254.18,1000288,9872,79999,1689.13,Harvey,101 Random Rd.,Nicole,12700,13332.89,(915) 123-4567,288,TX,2000288,1/15/64,3000288
487,El Paso,87.85,1000765,8360,79999,1625.93,Hart,101 Random Rd.,Rachel,300,15265.33,(915) 123-4567,765,TX,2000765,1/30/80,3000765
620,El Paso,504.27,1000380,1561,79999,1591.79,Jacobs,101 Random Rd.,Teresa,4200,24156.26,(915) 123-4567,380,TX,2000380,5/7/80,3000380
716,El Paso,1072.24,1000724,7890,79999,1558.22,Hickman,101 Random Rd.,Joshua,6700,22946.97,(915) 123-4567,724,TX,2000724,7/27/88,3000724
631,El Paso,940.59,1000543,5764,79999,2246.76,Walker,101 Random Rd.,Angela,4700,9371.71,(915) 123-4567,543,TX,2000543,5/1/20,3000543
714,El Paso,1380.88,1000145,4490,79999,2018.62,Gardner,101 Random Rd.,David,6900,20062.83,(915) 123-4567,145,TX,2000145,11/3/97,3000145
524,El Paso,120.96,1001016,1833,79999,1800.42,Craig,101 Random Rd.,Kim,500,11536.49,(915) 123-4567,1016,TX,2001016,6/16/28,3001016
510,El Paso,56.52,1000242,5482,79999,1642.53,Jones,101 Random Rd.,Ashley,400,4634,(915) 123-4567,242,TX,2000242,12/17/06,3000242
508,El Paso,48.52,1000702,9541,79999,2072.38,Williamson,101 Random Rd.,Wesley,400,1471.08,(915) 123-4567,702,TX,2000702,6/3/33,3000702
826,El Paso,2132.26,1000096,8213,79999,1969.27,Mcdonald,101 Random Rd.,Stephanie,16400,18727.61,(915) 123-4567,96,TX,2000096,1/5/00,3000096
844,El Paso,890.2,1000215,6181,79999,2212.95,Phelps,101 Random Rd.,Virginia,17800,5773.94,(915) 123-4567,215,TX,2000215,6/21/84,3000215
555,El Paso,75.34,1000984,1871,79999,1553.11,Solomon,101 Random Rd.,Luis,300,20343.71,(915) 123-4567,984,TX,2000984,9/5/21,3000984
745,El Paso,1391.75,1000228,9222,79999,1576.55,Ray,101 Random Rd.,Brittany,10700,22235.91,(915) 123-4567,228,TX,2000228,7/21/21,3000228
820,El Paso,394.6,1000532,6605,79999,1781.23,Reynolds,101 Random Rd.,Dennis,19700,528.17,(915) 123-4567,532,TX,2000532,1/9/78,3000532
648,El Paso,288.17,1000504,6704,79999,2053.16,Lang,101 Random Rd.,Angela,1800,15183.94,(915) 123-4567,504,TX,2000504,8/9/35,3000504
702,El Paso,536.57,1000259,3372,79999,2082.13,Holden,101 Random Rd.,Chris,6700,6304.84,(915) 123-4567,259,TX,2000259,1/8/53,3000259
548,El Paso,18.47,1000911,9307,79999,1944.89,Cummings,101 Random Rd.,Deanna,600,20999.62,(915) 123-4567,911,TX,2000911,10/25/12,3000911
830,El Paso,4422.4,1000801,1571,79999,2033.57,Oliver,101 Random Rd.,Michelle,20100,18315.29,(915) 123-4567,801,TX,2000801,2/12/33,3000801
364,El Paso,8.83,1000819,9645,79999,2154.05,Rogers,101 Random Rd.,Ann,100,15189,(915) 123-4567,819,TX,2000819,3/21/60,3000819
809,El Paso,1552.96,1000071,2540,79968,1586.28,Pariente,500 W. University Ave.,Edmundo,19400,14679.6,(915) 747-5000,71,TX,2000071,7/9/66,3000071
511,El Paso,51.4,1000119,6460,79999,1890.72,Hawkins,101 Random Rd.,Brittany,300,24931.33,(915) 123-4567,119,TX,2000119,8/27/89,3000119
597,El Paso,180.38,1000120,2119,79999,1545.56,Johnson,101 Random Rd.,Beverly,900,22453.83,(915) 123-4567,120,TX,2000120,11/10/94,3000120
321,El Paso,46.98,1000891,3485,79999,2148.73,Morgan,101 Random Rd.,Jack,200,10425.3,(915) 123-4567,891,TX,2000891,10/26/17,3000891
487,El Paso,12.15,1000102,2977,79999,1853.47,Evans,101 Random Rd.,Katherine,400,7930.73,(915) 123-4567,102,TX,2000102,7/28/97,3000102
728,El Paso,1400.02,1000794,6500,79999,2466.25,Stewart,101 Random Rd.,Mark,5600,5440.79,(915) 123-4567,794,TX,2000794,11/10/19,3000794
625,El Paso,270.84,1000222,5735,79999,1946.04,Yu,101 Random Rd.,Kelly,1500,23800.54,(915) 123-4567,222,TX,2000222,4/14/17,3000222
608,El Paso,98.53,1000889,4356,79999,2410.86,Dunn,101 Random Rd.,Jesse,1400,15084.08,(915) 123-4567,889,TX,2000889,1/7/95,3000889
498,El Paso,32.23,1000516,2594,79999,2042.79,Adams,101 Random Rd.,Michael,400,3283.36,(915) 123-4567,516,TX,2000516,1/13/58,3000516
453,El Paso,1.14,1000910,7629,79999,2437.23,Phillips,101 Random Rd.,Brendan,100,16872.45,(915) 123-4567,910,TX,2000910,6/26/13,3000910
453,El Paso,18.9,1000876,6286,79999,1867.95,Phillips,101 Random Rd.,Curtis,600,7035.34,(915) 123-4567,876,TX,2000876,7/2/45,3000876
686,El Paso,1539.24,1000169,9376,79999,2373.97,Walker,101 Random Rd.,Christina,5700,6718.19,(915) 123-4567,169,TX,2000169,12/22/93,3000169
550,El Paso,44.97,1000556,2245,79999,2242.58,Berg,101 Random Rd.,Rodney,200,13797.04,(915) 123-4567,556,TX,2000556,5/9/55,3000556
432,El Paso,25.65,1000987,1675,79999,1844.91,Petersen,101 Random Rd.,Carmen,500,585.65,(915) 123-4567,987,TX,2000987,7/23/59,3000987
632,El Paso,522.99,1000094,5187,79999,1984.99,Andrews,101 Random Rd.,Brittany,1800,12360.39,(915) 123-4567,94,TX,2000094,5/24/32,3000094
599,El Paso,432.78,1000608,8352,79999,1620.23,Nguyen,101 Random Rd.,Amber,4800,9856.09,(915) 123-4567,608,TX,2000608,5/21/02,3000608
327,El Paso,126.95,1000716,4901,79999,2404.34,Smith,101 Random Rd.,Daniel,600,1067.78,(915) 123-4567,716,TX,2000716,9/30/75,3000716
462,El Paso,27.12,1000299,9869,79999,2072.47,Mcconnell,101 Random Rd.,Ryan,100,14494.46,(915) 123-4567,299,TX,2000299,11/11/49,3000299
363,El Paso,10.22,1000388,5111,79999,2001.21,Brooks,101 Random Rd.,Joseph,500,11969.9,(915) 123-4567,388,TX,2000388,12/20/63,3000388
649,El Paso,784.12,1000248,1594,79999,1945.73,Moore,101 Random Rd.,Jessica,4900,2081.14,(915) 123-4567,248,TX,2000248,4/17/15,3000248
350,El Paso,64.74,1000116,2122,79999,2171.02,Norris,101 Random Rd.,Christopher,400,5682.57,(915) 123-4567,116,TX,2000116,2/11/10,3000116
430,El Paso,36.2,1000237,5418,79999,1544.44,Montgomery,101 Random Rd.,Jesse,300,14431.37,(915) 123-4567,237,TX,2000237,3/31/74,3000237
598,El Paso,49.88,1000107,7311,79999,1951.81,Obrien,101 Random Rd.,Theresa,700,15849.98,(915) 123-4567,107,TX,2000107,8/22/77,3000107
846,El Paso,0.05,1000059,7125,79968,2101.35,Mares,500 W. University Ave.,David,20100,24999.05,(915) 747-5000,59,TX,2000059,11/8/41,3000059
498,El Paso,22.71,1000539,6619,79999,2255.22,Martinez,101 Random Rd.,Michael,200,16312.4,(915) 123-4567,539,TX,2000539,11/12/14,3000539
339,Anaheim,21.33,1000005,3998,92802,1528.93,Disney,1313 Disneyland Dr.,Pluto,300,14894.66,(714) 781-4636,5,CA,2000005,2/17/28,3000005
506,El Paso,150.73,1000115,3814,79999,2052.29,Rodriguez,101 Random Rd.,Douglas,500,21650.15,(915) 123-4567,115,TX,2000115,4/27/58,3000115
626,El Paso,210.97,1000422,4159,79999,1961.36,Cruz,101 Random Rd.,Elizabeth,3000,23978.48,(915) 123-4567,422,TX,2000422,11/13/46,3000422
302,El Paso,16.42,1000152,6469,79999,1689.89,Wagner,101 Random Rd.,Marissa,400,14975.91,(915) 123-4567,152,TX,2000152,11/19/17,3000152
387,El Paso,58.95,1000156,3258,79999,2252.06,Zamora,101 Random Rd.,Philip,200,6965.95,(915) 123-4567,156,TX,2000156,9/29/18,3000156
630,El Paso,102.13,1000870,7863,79999,2133.75,Wise,101 Random Rd.,Bryan,3400,20123.94,(915) 123-4567,870,TX,2000870,10/30/40,3000870
576,El Paso,16.37,1000786,5849,79999,1992.93,Fitzgerald,101 Random Rd.,Tracy,400,1978.79,(915) 123-4567,786,TX,2000786,7/6/38,3000786
348,El Paso,115.19,1000241,3984,79999,1938.42,Henderson,101 Random Rd.,James,500,16277.91,(915) 123-4567,241,TX,2000241,3/23/94,3000241
534,El Paso,90.49,1000038,6230,79968,2097.2,Macik,500 W. University Ave.,Erik,600,20946.54,(915) 747-5000,38,TX,2000038,10/11/66,3000038
333,El Paso,19.04,1000737,9815,79999,1570.57,Mccormick,101 Random Rd.,Michael,100,20348.41,(915) 123-4567,737,TX,2000737,1/22/11,3000737
675,El Paso,1134.14,1000793,2390,79999,2143.6,Jones,101 Random Rd.,Erin,6300,22130.55,(915) 123-4567,793,TX,2000793,1/11/48,3000793
818,El Paso,4131.99,1000691,8619,79999,1782.19,Blevins,101 Random Rd.,John,24300,12502.05,(915) 123-4567,691,TX,2000691,10/25/59,3000691
499,El Paso,8.05,1000644,3443,79999,2331.03,Ramirez,101 Random Rd.,Jessica,400,20003.39,(915) 123-4567,644,TX,2000644,7/20/60,3000644
741,El Paso,2325.55,1000898,3271,79999,1709.1,Chavez,101 Random Rd.,Danielle,15500,19719.82,(915) 123-4567,898,TX,2000898,8/31/44,3000898
742,El Paso,990.51,1000996,5128,79999,1592.31,Brown,101 Random Rd.,Jamie,9000,1303.89,(915) 123-4567,996,TX,2000996,5/17/89,3000996
639,El Paso,660.85,1000447,5899,79999,1995.13,Copeland,101 Random Rd.,Jennifer,2200,16272.47,(915) 123-4567,447,TX,2000447,2/17/42,3000447
487,El Paso,125.97,1000658,1567,79999,2241.65,Flores,101 Random Rd.,Brandon,500,10877.57,(915) 123-4567,658,TX,2000658,8/27/42,3000658
752,El Paso,3192.31,1000995,9610,79999,1897.1,Santos,101 Random Rd.,Shawn,13300,3477.97,(915) 123-4567,995,TX,2000995,12/26/86,3000995
364,El Paso,36.35,1000354,4865,79999,1683.84,Barker,101 Random Rd.,Heidi,600,4047.71,(915) 123-4567,354,TX,2000354,4/9/46,3000354
325,El Paso,21.55,1000642,2543,79999,2056.18,Copeland,101 Random Rd.,Nicholas,100,21312.73,(915) 123-4567,642,TX,2000642,2/8/21,3000642
352,El Paso,80.59,1000589,1734,79999,2288.66,Ray,101 Random Rd.,Jeff,500,887.32,(915) 123-4567,589,TX,2000589,7/30/28,3000589
595,El Paso,140.9,1000730,8789,79999,2137.5,Jones,101 Random Rd.,John,2800,2888.67,(915) 123-4567,730,TX,2000730,8/3/78,3000730
564,El Paso,51.8,1000188,7115,79999,2385.66,Ramos,101 Random Rd.,Mark,300,9891.65,(915) 123-4567,188,TX,2000188,5/19/71,3000188
451,El Paso,162.17,1000469,6281,79999,1866.24,Jones,101 Random Rd.,Barbara,600,1157.06,(915) 123-4567,469,TX,2000469,12/14/38,3000469
550,El Paso,3.3,1000064,6555,79968,2025.9,MataNevarez,500 W. University Ave.,Jose,100,10547.39,(915) 747-5000,64,TX,2000064,12/14/18,3000064
355,El Paso,24.65,1000685,8870,79999,1707.44,Giles,101 Random Rd.,Cynthia,600,23839.27,(915) 123-4567,685,TX,2000685,11/26/39,3000685
569,El Paso,28.71,1000854,5586,79999,1988.57,Johnson,101 Random Rd.,Laurie,400,20345.66,(915) 123-4567,854,TX,2000854,1/3/95,3000854
765,El Paso,2499.46,1000640,2311,79999,1548.31,Johnson,101 Random Rd.,Luis,14700,21163.81,(915) 123-4567,640,TX,2000640,6/15/87,3000640
470,El Paso,38.57,1000427,9852,79999,2468.23,Blake,101 Random Rd.,Krista,200,17098.82,(915) 123-4567,427,TX,2000427,1/7/28,3000427
305,El Paso,30.9,1001013,1480,79999,2432.86,Lewis,101 Random Rd.,Austin,200,23009.13,(915) 123-4567,1013,TX,2001013,7/23/40,3001013
719,El Paso,627.79,1000852,3155,79999,1521.04,Clarke,101 Random Rd.,Michael,5700,16506.09,(915) 123-4567,852,TX,2000852,2/18/31,3000852
670,El Paso,1428.67,1000214,3795,79999,2381.97,Wagner,101 Random Rd.,Bridget,5100,15828.64,(915) 123-4567,214,TX,2000214,6/8/48,3000214
673,El Paso,528.13,1001001,2710,79999,2393.03,Hall,101 Random Rd.,Andrew,6600,16703.9,(915) 123-4567,1001,TX,2001001,11/24/28,3001001
